,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
0,shape of you,ed sheeran,2017,"Tropical House,Dancehall,Pop,UK",49,2
1,that's what i like,bruno mars,2017,"Funk,R&;B,Pop",47,3
2,redbone,childish gambino,2017,"Alternative R&;B,Neo Soul,Memes,Neo-Psychedelia,Soul,R&;B",41,2
3,humble.,kendrick lamar,2017,"Hip-Hop,Producer,Conscious Hip-Hop,Pop,Trap,West Coast,Rap",37,1
4,unforgettable,french montana,2017,"Dancehall,Rap",36,2
5,castle on the hill,ed sheeran,2017,"Adult Alternative,Adult Contemporary,Pop-Rock,Folk Rock,Folk,UK,Pop",33,1
6,24k magic,bruno mars,2017,"Funk-Pop,Funk,Pop",31,2
7,feel it still,portugal. the man,2017,"Adult Contemporary,Alternative Dance,Electronic Rock,Adult Alternative,Pop,Pop-Rock,Funk Rock,Electronic,Indie Rock,Alternative Pop,Alternative Rock,Indie Pop,Rock",26,2
8,sorry not sorry,demi lovato,2017,"R&;B,Pop",23,2
9,rake it up,yo gotti,2017,"Trap,Rap",22,1
10,love on the brain,rihanna,2017,"Doo-Wop,Pop,R&;B",22,2
11,the fighter,keith urban,2017,"Pop Country,Country",22,2
12,bounce back,big sean,2017,"Trap,Rap",22,2
13,dna.,kendrick lamar,2017,"Politics,Producer,News,Conscious Hip-Hop,Trap,West Coast,Rap",20,1
14,cold,maroon 5,2017,"Rap,Pop",20,1
15,passionfruit,drake,2017,"Pop,Dancehall,Tropical House,Canada,R&;B",20,1
16,it's a vibe,2 chainz,2017,"DMV,West Coast,Trap,R&;B,Rap",20,1
17,slide,calvin harris,2017,"Nu Disco,Dance,Electronic,R&;B,Rap,Pop",20,1
18,the weekend,brantley gilbert,2017,Country,20,1
19,you look good,lady antebellum,2017,Country,20,1
20,what about us,p!nk,2017,"LGBTQ+,Electro-Pop,Pop",19,2
21,do i make you wanna,billy currington,2017,Country,19,1
22,moves,big sean,2017,"Trap,Rap",19,1
23,deja vu,j. cole,2017,"Trap,Rap",19,2
24,black,dierks bentley,2017,Country,19,1
25,feels,calvin harris,2017,"Dance,Rap,Pop",18,1
26,privacy,chris brown,2017,"DMV,Reggae,Jamaica,Dancehall,Soul,Rap,R&;B",17,1
27,don't wanna know,maroon 5,2017,"Rap,Pop",17,2
28,look what you made me do,taylor swift,2017,"Beef,Dance-Pop,Alternative Pop,Electro-Pop,Pop",17,2
29,play that song,train,2017,Pop,17,2
30,fake love,drake,2017,"Trap,R&;B,Canada,Rap",17,2
31,water under the bridge,adele,2017,"Adult Alternative,Adult Contemporary,Ballad,Disco,Tropical House,Trip-Hop,UK,Pop",16,3
